p(the | <s>) = 0.05898876404494382
p(landlady | the) = 0.002881844380403458
p(informed | landlady) = 0.5
p(me | informed) = 1.0
p(that | me) = 0.18181818181818182
p(he | that) = 0.033707865168539325
p(had | he) = 0.06172839506172839
p(left | had) = 0.0196078431372549
p(the | left) = 0.2857142857142857
p(house | the) = 0.023054755043227664
p(shortly | house) = 0.08333333333333333
p(after | shortly) = 1.0
p(eight | after) = 0.5
p(o | eight) = 1.0
p(clock | o) = 1.0
p(in | clock) = 0.2
p(the | in) = 0.21138211382113822
p(morning | the) = 0.005763688760806916
p(</s> | morning) = 0.2
p(<s> | </s>) = 0.9971910112359551
p(irene | <s>) = 0.0056179775280898875
p(adler | irene) = 0.8
p(as | adler) = 0.1111111111111111
p(i | as) = 0.16279069767441862
p(will | i) = 0.030612244897959183
p(still | will) = 0.04
p(call | still) = 0.14285714285714285
p(her | call) = 0.125
p(had | her) = 0.027777777777777776
p(hurried | had) = 0.0392156862745098
p(up | hurried) = 0.3333333333333333
p(the | up) = 0.043478260869565216
p(steps | the) = 0.008645533141210375
p(but | steps) = 0.2
p(she | but) = 0.14285714285714285
p(stood | she) = 0.016666666666666666
p(at | stood) = 0.3333333333333333
p(the | at) = 0.4444444444444444
p(top | the) = 0.002881844380403458
p(with | top) = 0.5
p(her | with) = 0.07692307692307693
p(superb | her) = 0.027777777777777776
p(figure | superb) = 1.0
p(outlined | figure) = 0.3333333333333333
p(against | outlined) = 1.0
p(the | against) = 0.6
p(lights | the) = 0.002881844380403458
p(of | lights) = 1.0
p(the | of) = 0.23118279569892472
p(hall | the) = 0.005763688760806916
p(looking | hall) = 0.5
p(back | looking) = 0.25
p(into | back) = 0.14285714285714285
p(the | into) = 0.45454545454545453
p(street | the) = 0.023054755043227664
p(</s> | street) = 0.26666666666666666
p(i | <s>) = 0.13202247191011235
p(do | i) = 0.01020408163265306
p(not | do) = 0.25
p(know | not) = 0.06382978723404255
p(whether | know) = 0.07142857142857142
p(he | whether) = 0.25
p(was | he) = 0.14814814814814814
p(seized | was) = 0.010101010101010102
p(with | seized) = 1.0
p(compunction | with) = 0.019230769230769232
p(at | compunction) = 1.0
p(that | at) = 0.044444444444444446
p(moment | that) = 0.011235955056179775
p(for | moment) = 0.25
p(the | for) = 0.32432432432432434
p(part | the) = 0.005763688760806916
p(he | part) = 0.125
p(playing | was) = 0.010101010101010102
p(but | playing) = 1.0
p(i | but) = 0.09523809523809523
p(know | i) = 0.02040816326530612
p(that | know) = 0.2857142857142857
p(i | that) = 0.11235955056179775
p(never | i) = 0.00510204081632653
p(felt | never) = 0.25
p(more | felt) = 0.5
p(heartily | more) = 0.1
p(ashamed | heartily) = 0.5
p(of | ashamed) = 1.0
p(myself | of) = 0.005376344086021506
p(in | myself) = 0.3333333333333333
p(my | in) = 0.07317073170731707
p(life | my) = 0.03278688524590164
p(than | life) = 0.25
p(when | than) = 0.1
p(i | when) = 0.21739130434782608
p(saw | i) = 0.025510204081632654
p(the | saw) = 0.16666666666666666
p(beautiful | the) = 0.002881844380403458
p(creature | beautiful) = 1.0
p(against | creature) = 1.0
p(whom | against) = 0.2
p(i | whom) = 0.5714285714285714
p(was | i) = 0.08163265306122448
p(conspiring | was) = 0.010101010101010102
p(or | conspiring) = 1.0
p(the | or) = 0.05555555555555555
p(grace | the) = 0.002881844380403458
p(and | grace) = 1.0
p(kindliness | and) = 0.005
p(with | kindliness) = 1.0
p(which | with) = 0.038461538461538464
p(she | which) = 0.044444444444444446
p(waited | she) = 0.016666666666666666
p(upon | waited) = 1.0
p(the | upon) = 0.4
p(injured | the) = 0.005763688760806916
p(man | injured) = 1.0
p(</s> | man) = 0.23809523809523808
p(my | <s>) = 0.008426966292134831
p(mistress | my) = 0.01639344262295082
p(told | mistress) = 0.5
p(me | told) = 0.3333333333333333
p(you | that) = 0.10112359550561797
p(were | you) = 0.010101010101010102
p(likely | were) = 0.045454545454545456
p(to | likely) = 0.6666666666666666
p(call | to) = 0.0106951871657754
p(</s> | call) = 0.125
p(indeed | <s>) = 0.0056179775280898875
p(i | indeed) = 0.1
p(should | i) = 0.04081632653061224
p(have | should) = 0.08333333333333333
p(thought | have) = 0.02
p(a | thought) = 0.3333333333333333
p(little | a) = 0.022222222222222223
p(more | little) = 0.1
p(</s> | more) = 0.2
p(your | <s>) = 0.016853932584269662
p(majesty | your) = 0.4838709677419355
p(will | majesty) = 0.06666666666666667
p(of | will) = 0.04
p(course | of) = 0.021505376344086023
p(stay | course) = 0.25
p(in | stay) = 0.5
p(london | in) = 0.016260162601626018
p(for | london) = 0.3333333333333333
p(present | the) = 0.002881844380403458
p(certainly | present) = 0.25
p(</s> | certainly) = 0.25
p(it | <s>) = 0.0898876404494382
p(must | it) = 0.03225806451612903
p(be | must) = 0.5384615384615384
p(in | be) = 0.06976744186046512
p(her | in) = 0.016260162601626018
p(own | her) = 0.08333333333333333
p(house | own) = 0.125
p(but | house) = 0.08333333333333333
p(it | but) = 0.047619047619047616
p(has | it) = 0.008064516129032258
p(twice | has) = 0.058823529411764705
p(been | twice) = 0.2
p(burgled | been) = 0.038461538461538464
p(pshaw | burgled) = 1.0
p(</s> | pshaw) = 1.0
p(and | <s>) = 0.047752808988764044
p(that | and) = 0.035
p(was | that) = 0.011235955056179775
p(how | was) = 0.010101010101010102
p(a | how) = 0.0625
p(great | a) = 0.016666666666666666
p(scandal | great) = 0.25
p(threatened | scandal) = 0.3333333333333333
p(to | threatened) = 1.0
p(affect | to) = 0.0053475935828877
p(the | affect) = 1.0
p(kingdom | the) = 0.002881844380403458
p(of | kingdom) = 0.5
p(bohemia | of) = 0.026881720430107527
p(and | bohemia) = 0.125
p(how | and) = 0.005
p(the | how) = 0.0625
p(best | the) = 0.005763688760806916
p(plans | best) = 0.25
p(of | plans) = 0.5
p(mr | of) = 0.005376344086021506
p(sherlock | mr) = 0.42857142857142855
p(holmes | sherlock) = 1.0
p(were | holmes) = 0.02702702702702703
p(beaten | were) = 0.045454545454545456
p(by | beaten) = 1.0
p(a | by) = 0.12
p(woman | a) = 0.027777777777777776
p(s | woman) = 0.16666666666666666
p(wit | s) = 0.058823529411764705
p(</s> | wit) = 1.0
p(holmes | <s>) = 0.014044943820224719
p(rushed | holmes) = 0.02702702702702703
p(at | rushed) = 0.16666666666666666
p(bell | the) = 0.011527377521613832
p(pull | bell) = 0.4
p(tore | pull) = 0.3333333333333333
p(back | tore) = 0.3333333333333333
p(a | back) = 0.14285714285714285
p(small | a) = 0.011111111111111112
p(sliding | small) = 0.25
p(shutter | sliding) = 0.5
p(and | shutter) = 1.0
p(plunging | and) = 0.005
p(in | plunging) = 1.0
p(his | in) = 0.04878048780487805
p(hand | his) = 0.0375
